name,trade,phone,address,rating,review_count,website_status,notes
LPB Plumbing,Plumber,07825871472,,4.9,32,no_website,No website on GBP listing
Green Zone Electrical Bath,Electrician,07983145436,8 Prior Park Rd,5.0,31,no_website,No website on GBP listing
Souza Decorating,Painter & Decorator,07523107152,4 Lansdown Rd,5.0,57,no_website,No website on GBP listing
Bath City Painting And Decorating,Painter & Decorator,07917355229,,4.2,6,no_website,No website on GBP listing
Bath Cleaning Services Limited,Cleaner,01225941022,"Office 194, 3 Edgar Buildings, George St",5.0,15,no_website,No website on GBP listing
Kitchens of Bath,Kitchen Fitter,01225436545,"8 Claverton Buildings",4.7,14,no_website,No website on GBP listing
JW Bathroom Solutions ltd,Bathroom Fitter,07807554976,120 Frome Rd,5.0,27,no_website,No website on GBP listing
Lime Plastering Services,Plasterer,07538302597,187 Redland Park,,,no_website,No website on GBP listing
Father's House Carpentry,Carpenter,07504088436,102 Rosewell Ct,5.0,1,no_website,No website on GBP listing
D Cole Tiler,Tiler,01225333997,,3.3,7,no_website,No website on GBP listing
J Chandler Ceramic & Stone Tiling,Tiler,,Eastfield Ave,5.0,1,no_website,No website on GBP listing
rapid maintenance,Handyman,07481129619,Cranmore Pl,5.0,14,no_website,No website on GBP listing
Bath Handyman,Handyman,07593182129,,4.9,13,no_website,No website on GBP listing
Bath Handyman,Handyman,07908927954,28b Warwick Rd,5.0,1,no_website,Different listing to above
JBA Building & Plastering,Bricklayer,07710548918,189 Park Rd,5.0,43,no_website,No website on GBP listing
Jeremy Beech Tree Surgeon,Tree Surgeon,07762947536,12 Norfolk Cres,5.0,26,no_website,No website on GBP listing
The Tree Surgery,Tree Surgeon,01544327389,169 Whiteway Rd,,,no_website,No website on GBP listing
Right At Your Feet Flooring,Carpet Fitter,01225424474,36 High St,4.7,26,no_website,No website on GBP listing
KG Flooring Bath,Carpet Fitter,07791381441,Redland Park,4.8,33,no_website,No website on GBP listing
Avonvale Carpets Limited,Carpet Fitter,01225427057,37 Kingsmead St,4.9,189,no_website,No website on GBP listing
Bath Carpets And Flooring,Carpet Fitter,01225471888,4 Kingsmead St,4.4,16,no_website,No website on GBP listing
Virtuoso Flooring,Flooring,01225972715,10 Moorland Rd,4.6,85,no_website,No website on GBP listing
Interior Harmony Flooring Ltd,Floor Fitter,01225483818,5 Chelsea Rd,4.5,28,no_website,No website on GBP listing
Independent Flooring Consultants,Floor Fitter,07768464500,5 Chelsea Rd,5.0,7,no_website,No website on GBP listing
Bath Drainage,Drain Cleaning,01225946178,3a Lambridge Buildings Mews,,,no_website,No website on GBP listing
Thermo Bed Bug Treatments,Pest Control,07365443483,2 Foundry Ln,5.0,2,no_website,No website on GBP listing
1st Stop Cleaning Services,Oven Cleaning,01225769191,2 Windrush Cl,5.0,3,no_website,No website on GBP listing
Oven Rescue,Oven Cleaning,07585507399,,5.0,1,no_website,No website on GBP listing
The Aerial Co.,Aerial Installer,07970529787,85 Poplar Rd,5.0,48,no_website,No website on GBP listing
Aerial Services Bath,Aerial Installer,07593817203,50 Bathwick Hill,,,no_website,No website on GBP listing
S & T Windows and Building Plastics ltd,Double Glazing,07516932420,133a Coronation Ave,5.0,3,no_website,No website on GBP listing
Andrews Domestics,Appliance Repair,01225310873,22 Tanners Walk,5.0,2,no_website,No website on GBP listing
Loft Conversion Bath Ltd,Loft Conversion,01225617251,,5.0,2,no_website,No website on GBP listing
Rjm Construction & Earthworks Limited,Groundworker,,65 Bristol Rd,1.0,2,no_website,Low rating — verify before outreach
DJE GROUNDWORKS & CONSTRUCTION.,Groundworker,07469957467,8 The Ricklands,5.0,16,no_website,No website on GBP listing
Bath SMJ Skip Hire,Skip Hire,01225258872,Monmouth St,,,no_website,No website on GBP listing
Just Skips,Skip Hire,08454501138,"3 Edgar Buildings, George St",,,no_website,No website on GBP listing
MG Property Maintenance,Property Maintenance,07719388841,"Ascension House, 7 Moorfields Rd",,,no_website,No website on GBP listing
Van Man Bath Removals,Man with Van,07875383440,,5.0,3,no_website,No website on GBP listing
The Curtain Exchange,Curtain Fitter,01225422078,11 Widcombe Parade,5.0,21,no_website,No website on GBP listing
Bath Shutters and Blinds,Blinds & Shutters,07787736643,77 Lower Oldfield Park,5.0,138,no_website,High review count — strong lead
Aspect Window Styling,Curtain Fitter,01225469559,1 Saracen St,4.5,38,no_website,No website on GBP listing
Gravity Curtains & Blinds Ltd,Curtain Fitter,07771867597,,5.0,18,no_website,No website on GBP listing
Curtain Flair,Curtain Fitter,01179867277,"Unit 9, Trading Estate, Lays Farm, Charlton Rd",5.0,5,no_website,No website on GBP listing
Majestic Blinds Bristol,Blinds,07516751745,"Unit 14, Brookleaze Trading Estate",5.0,14,no_website,Bristol-based but appearing in Bath searches
